Title,Date
"13 Reasons Why: Temporada 2: Zorra ebria","03/03/21"
"13 Reasons Why: Temporada 2: Dos chicas y un beso","03/03/21"
"13 Reasons Why: Temporada 2: La primera Polaroid","03/03/21"
"13 Reasons Why: Temporada 1: Casete siete, lado A","25/02/21"
"13 Reasons Why: Temporada 1: Casete seis, lado B","25/02/21"
"Crepúsculo","24/02/21"
"13 Reasons Why: Temporada 1: Casete seis, lado A","24/02/21"
"Detrás de sus ojos: Miniserie: La primera puerta","22/02/21"
"Detrás de sus ojos: Miniserie: Sueños lúcidos","22/02/21"
"13 Reasons Why: Temporada 1: Casete cinco, lado B","22/02/21"
"13 Reasons Why: Temporada 1: Casete cinco, lado A","22/02/21"
"13 Reasons Why: Temporada 1: Casete cuatro, lado B","22/02/21"
"13 Reasons Why: Temporada 1: Casete cuatro, lado A","22/02/21"
"Spider-Man: De regreso a casa","18/02/21"
"Detrás de sus ojos: Miniserie: Encuentros fortuitos","18/02/21"
"13 Reasons Why: Temporada 1: Casete tres, lado B","17/02/21"
"13 Reasons Why: Temporada 1: Casete tres, lado A","17/02/21"
"13 Reasons Why: Temporada 1: Casete dos, lado B","14/02/21"
